DRAW_NUMBER,DATE,YEAR_DRAW,NUMBER_1,NUMBER_2,NUMBER_3,NUMBER_4,NUMBER_5,STAR_1,STAR_2,NUMBER_OF_WINNERS,SORTEIO
1,2004-02-13,2004-02,32,16,29,41,36,9,7,1,Sexta-Feira
2,2004-02-20,2004-02,13,50,47,7,39,2,5,0,Sexta-Feira
3,2004-02-27,2004-02,37,19,18,14,31,5,4,0,Sexta-Feira
4,2004-03-05,2004-03,39,37,4,7,33,5,1,1,Sexta-Feira
5,2004-03-12,2004-03,44,47,15,28,24,4,5,0,Sexta-Feira
6,2004-03-19,2004-03,42,45,33,37,36,9,4,0,Sexta-Feira
7,2004-03-26,2004-03,23,43,3,4,10,2,4,0,Sexta-Feira
8,2004-04-02,2004-04,4,24,12,36,27,2,9,0,Sexta-Feira
9,2004-04-09,2004-04,23,19,10,1,4,2,8,1,Sexta-Feira
10,2004-04-16,2004-04,28,40,14,15,35,3,1,0,Sexta-Feira
11,2004-04-23,2004-04,45,21,6,49,10,5,3,0,Sexta-Feira
12,2004-04-30,2004-04,27,16,6,5,23,7,6,0,Sexta-Feira
13,2004-05-07,2004-05,38,36,15,16,21,1,5,0,Sexta-Feira
14,2004-05-14,2004-05,32,3,1,39,21,2,6,1,Sexta-Feira
15,2004-05-21,2004-05,37,39,29,15,49,4,9,1,Sexta-Feira
16,2004-05-28,2004-05,41,44,6,35,11,6,5,0,Sexta-Feira
17,2004-06-04,2004-06,41,42,34,13,9,7,3,1,Sexta-Feira
18,2004-06-11,2004-06,7,2,47,10,8,1,7,0,Sexta-Feira
19,2004-06-18,2004-06,28,2,40,23,43,6,2,1,Sexta-Feira
20,2004-06-25,2004-06,30,21,35,3,34,1,2,0,Sexta-Feira
21,2004-07-02,2004-07,4,28,24,23,34,1,3,0,Sexta-Feira
22,2004-07-09,2004-07,44,19,5,12,2,8,9,0,Sexta-Feira
23,2004-07-16,2004-07,26,50,31,24,38,8,5,0,Sexta-Feira
24,2004-07-23,2004-07,10,27,7,34,31,8,3,0,Sexta-Feira
25,2004-07-30,2004-07,50,10,9,19,37,6,1,0,Sexta-Feira
26,2004-08-06,2004-08,5,35,44,15,24,6,5,1,Sexta-Feira
27,2004-08-13,2004-08,20,27,41,43,50,5,8,0,Sexta-Feira
28,2004-08-20,2004-08,27,10,35,9,6,6,8,0,Sexta-Feira
29,2004-08-27,2004-08,28,1,44,22,11,1,9,0,Sexta-Feira
30,2004-09-03,2004-09,14,12,15,34,8,7,6,0,Sexta-Feira
31,2004-09-10,2004-09,5,38,36,25,33,5,2,0,Sexta-Feira
32,2004-09-17,2004-09,41,39,15,18,29,8,5,0,Sexta-Feira
33,2004-09-24,2004-09,48,21,26,27,44,1,7,0,Sexta-Feira
34,2004-10-01,2004-10,48,20,45,21,12,6,5,1,Sexta-Feira
35,2004-10-08,2004-10,12,10,48,1,16,2,6,0,Sexta-Feira
36,2004-10-15,2004-10,37,21,14,43,22,5,8,0,Sexta-Feira
37,2004-10-22,2004-10,9,25,1,40,23,3,9,1,Sexta-Feira
38,2004-10-29,2004-10,32,1,38,35,8,9,4,0,Sexta-Feira
39,2004-11-05,2004-11,25,42,49,19,6,1,7,0,Sexta-Feira
40,2004-11-12,2004-11,12,13,4,32,11,9,3,0,Sexta-Feira
41,2004-11-19,2004-11,37,29,34,18,1,6,2,0,Sexta-Feira
42,2004-11-26,2004-11,24,1,34,4,36,8,6,1,Sexta-Feira
43,2004-12-03,2004-12,15,42,11,1,49,4,3,0,Sexta-Feira
44,2004-12-10,2004-12,3,13,43,1,16,7,2,0,Sexta-Feira
45,2004-12-17,2004-12,49,22,19,15,46,9,2,1,Sexta-Feira
46,2004-12-24,2004-12,3,27,29,4,37,6,5,1,Sexta-Feira
47,2004-12-31,2004-12,8,7,47,25,24,8,9,0,Sexta-Feira
48,2005-01-07,2005-01,50,27,47,3,23,3,2,0,Sexta-Feira
49,2005-01-14,2005-01,11,14,29,6,19,3,1,2,Sexta-Feira
50,2005-01-21,2005-01,12,14,10,26,24,8,5,0,Sexta-Feira
51,2005-01-28,2005-01,26,21,7,43,45,5,7,0,Sexta-Feira
52,2005-02-04,2005-02,11,1,40,30,8,7,8,0,Sexta-Feira
53,2005-02-11,2005-02,11,13,25,32,50,7,4,1,Sexta-Feira
